antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,A_id,B_id,phi,p_value,abs_phi,abs_loglift,p_fdr,fdr_sig,domA,domB
frozenset({'MathA_05_r'}),frozenset({'MathA_14_r'}),0.8315334773218143,0.7796976241900648,0.6241900647948164,0.7506493506493507,0.9627441810267295,1.0,-0.02415461190750534,0.8835043196544276,-0.18679653679653724,0.6323851203501095,-0.1318563789152025,0.7756016836349247,MathA_05_r,MathA_14_r,-0.1557150871510686,0.00026535934241420697,0.1557150871510686,0.03796755042199887,0.0013267967120710348,True,数と計算,図形
frozenset({'MathA_14_r'}),frozenset({'MathA_05_r'}),0.7796976241900648,0.8315334773218143,0.6241900647948164,0.8005540166204986,0.9627441810267295,1.0,-0.02415461190750534,0.8446724262059035,-0.14941135734072056,0.6323851203501095,-0.18389090134242483,0.7756016836349247,MathA_14_r,MathA_05_r,-0.1557150871510686,0.00026535934241420697,0.1557150871510686,0.03796755042199887,0.0013267967120710348,True,図形,数と計算
frozenset({'MathB_12_r'}),frozenset({'MathB_02_r'}),0.1490280777537797,0.6479481641468683,0.08207343412526998,0.5507246376811594,0.849951690821256,1.0,-0.014489035261628314,0.7835992475440674,-0.17181104104436334,0.1148036253776435,-0.2761625322308172,0.33869565217391306,MathB_12_r,MathB_02_r,-0.08518720427678722,0.046264533639219035,0.08518720427678722,0.16257576544084065,0.08349472385384824,False,図形,図形
frozenset({'MathB_02_r'}),frozenset({'MathB_12_r'}),0.6479481641468683,0.1490280777537797,0.08207343412526998,0.12666666666666665,0.849951690821256,1.0,-0.014489035261628314,0.9743953308162828,-0.3339784946236559,0.1148036253776435,-0.026277495769881563,0.33869565217391306,MathB_02_r,MathB_12_r,-0.08518720427678722,0.046264533639219035,0.08518720427678722,0.16257576544084065,0.08349472385384824,False,図形,図形
frozenset({'MathB_11_r'}),frozenset({'MathB_05_r'}),0.326133909287257,0.1900647948164147,0.0734341252699784,0.2251655629139073,1.1846779048765803,1.0,0.011447550718620698,1.045300991305311,0.23133484162895934,0.16585365853658535,0.04333774834437087,0.30576459963877184,MathB_11_r,MathB_05_r,0.062237453928594456,0.11328633858090764,0.062237453928594456,0.16947092740926462,0.12587370953434182,False,数と計算,データ活用
frozenset({'MathB_05_r'}),frozenset({'MathB_11_r'}),0.1900647948164147,0.326133909287257,0.0734341252699784,0.38636363636363635,1.1846779048765805,1.0,0.011447550718620698,1.0981521478281737,0.19247058823529414,0.16585365853658535,0.08937937062937065,0.30576459963877184,MathB_05_r,MathB_11_r,0.062237453928594456,0.11328633858090764,0.062237453928594456,0.1694709274092648,0.12587370953434182,False,データ活用,数と計算
frozenset({'MathB_13_na'}),frozenset({'MathB_08_r'}),0.11447084233261338,0.673866090712743,0.09071274298056156,0.7924528301886793,1.175979680696662,1.0,0.01357472395728862,1.5713724720204207,0.16898954703832775,0.13003095975232198,0.363613644883169,0.46353410740203194,MathB_13_na,MathB_08_r,0.09094887998002947,0.032746049832299534,0.09094887998002947,0.16210157100799835,0.08186512458074884,False,図形,図形
frozenset({'MathB_08_r'}),frozenset({'MathB_13_na'}),0.673866090712743,0.11447084233261338,0.09071274298056156,0.13461538461538464,1.175979680696662,1.0,0.01357472395728862,1.0232781377489801,0.4588457899716184,0.13003095975232198,0.02274859287054412,0.46353410740203194,MathB_08_r,MathB_13_na,0.09094887998002947,0.032746049832299534,0.09094887998002947,0.16210157100799835,0.08186512458074884,False,図形,図形
frozenset({'MathB_12_na'}),frozenset({'MathB_11_na'}),0.20086393088552915,0.11231101511879049,0.0734341252699784,0.3655913978494624,3.255169561621175,1.0,0.05087489329147405,1.3992385693890252,0.8669316375198728,0.30630630630630634,0.2853255893048688,0.5097187758478081,MathB_12_na,MathB_11_na,0.40216157612814296,2.077851105334377e-14,0.40216157612814296,1.1802443669677123,2.077851105334377e-13,True,図形,数と計算
frozenset({'MathB_11_na'}),frozenset({'MathB_12_na'}),0.11231101511879049,0.20086393088552915,0.0734341252699784,0.6538461538461539,3.255169561621175,1.0,0.05087489329147405,2.308615310775138,0.7804494060397882,0.30630630630630634,0.5668399168399169,0.5097187758478081,MathB_11_na,MathB_12_na,0.40216157612814296,2.077851105334377e-14,0.40216157612814296,1.1802443669677123,2.077851105334377e-13,True,数と計算,図形
