antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,A_id,B_id,phi,p_value,abs_phi,abs_loglift,p_fdr,fdr_sig,domA,domB
frozenset({'MathA_06_r'}),frozenset({'MathA_07_r'}),0.803,0.8305,0.688,0.8567870485678704,1.0316520753375922,1.0,0.021108499999999863,1.1835521739130423,0.15574091016408828,0.7276573241671072,0.15508583225882208,0.8426018325319785,MathA_06_r,MathA_07_r,0.14145288757585645,1.228927119557234e-09,0.14145288757585645,0.031161473915369265,1.8378549715900978e-09,True,数と計算,数と計算
frozenset({'MathA_07_r'}),frozenset({'MathA_06_r'}),0.8305,0.803,0.688,0.8284166164960867,1.0316520753375924,1.0,0.021108499999999863,1.1481298245614031,0.18100860945324712,0.7276573241671072,0.12901835784815546,0.8426018325319785,MathA_07_r,MathA_06_r,0.14145288757585645,1.228927119557234e-09,0.14145288757585645,0.03116147391536948,1.8378549715900978e-09,True,数と計算,数と計算
frozenset({'MathA_03_r'}),frozenset({'MathA_01_r'}),0.8075,0.6865,0.5835,0.7226006191950465,1.052586480983316,1.0,0.029151250000000073,1.1301395089285715,0.259528817369435,0.6408566721581549,0.11515349025533167,0.7862821012945371,MathA_03_r,MathA_01_r,0.15937914994355604,2.5544126111472036e-12,0.15937914994355604,0.05125045040391046,5.808664293841586e-12,True,数と計算,数と計算
frozenset({'MathA_01_r'}),frozenset({'MathA_03_r'}),0.6865,0.8075,0.5835,0.8499635833940277,1.052586480983316,1.0,0.029151250000000073,1.2830218446601942,0.15935980013912673,0.6408566721581549,0.22059004360533854,0.7862821012945371,MathA_01_r,MathA_03_r,0.15937914994355604,2.5544126111472036e-12,0.15937914994355604,0.05125045040391046,5.808664293841586e-12,True,数と計算,数と計算
frozenset({'MathA_13_r'}),frozenset({'MathA_01_r'}),0.7185,0.6865,0.5305,0.7383437717466944,1.0755189683127377,1.0,0.03724974999999997,1.198136968085106,0.24943625354277174,0.6066323613493424,0.16537088276457548,0.7555520752396983,MathA_13_r,MathA_01_r,0.17853843892747948,2.9721330781120546e-15,0.17853843892747948,0.07280330630906946,1.3334434890989217e-14,True,図形,数と計算
frozenset({'MathA_01_r'}),frozenset({'MathA_13_r'}),0.6865,0.7185,0.5305,0.7727603787327021,1.0755189683127377,1.0,0.03724974999999997,1.2387804487179486,0.22397545573298325,0.6066323613493424,0.19275445375737857,0.7555520752396983,MathA_01_r,MathA_13_r,0.17853843892747948,2.9721330781120546e-15,0.17853843892747948,0.07280330630906946,1.3334434890989217e-14,True,数と計算,図形
frozenset({'MathA_08_r'}),frozenset({'MathA_01_r'}),0.713,0.6865,0.523,0.7335203366058907,1.0684928428345093,1.0,0.03352550000000004,1.1764500000000002,0.2233529423521498,0.5966913861950942,0.14998512473968315,0.7476778667734478,MathA_08_r,MathA_01_r,0.1597535460546444,1.3710753994655268e-12,0.1597535460546444,0.0662490974247383,3.396992780765335e-12,True,量と測定,数と計算
frozenset({'MathA_01_r'}),frozenset({'MathA_08_r'}),0.6865,0.713,0.523,0.7618353969410051,1.0684928428345093,1.0,0.03352550000000004,1.2050489296636087,0.204473028564807,0.5966913861950942,0.1701581774947914,0.7476778667734478,MathA_01_r,MathA_08_r,0.1597535460546444,1.3710753994655268e-12,0.1597535460546444,0.0662490974247383,3.396992780765335e-12,True,数と計算,量と測定
frozenset({'MathA_02_r'}),frozenset({'MathA_01_r'}),0.7155,0.6865,0.5225,0.7302585604472396,1.0637415301489288,1.0,0.031309249999999955,1.1622240932642482,0.21062217774825276,0.5940875497441727,0.13958073507891414,0.7456828126343991,MathA_02_r,MathA_01_r,0.14958486940514926,2.9760418667288615e-11,0.14958486940514926,0.06179243861657169,5.613897157693079e-11,True,数と計算,数と計算
frozenset({'MathA_01_r'}),frozenset({'MathA_02_r'}),0.6865,0.7155,0.5225,0.7611070648215585,1.0637415301489288,1.0,0.031309249999999955,1.1909100609756091,0.19113878650519267,0.5940875497441727,0.16030602749229708,0.7456828126343991,MathA_01_r,MathA_02_r,0.14958486940514926,2.9760418667288615e-11,0.14958486940514926,0.06179243861657169,5.613897157693079e-11,True,数と計算,数と計算
