u,v,delta_p_1,beta_1,dom_u_1,dom_v_1,delta_p_0,beta_0,dom_u_0,dom_v_0
MathA_01,MathA_09,-0.095864,-0.110422,数と計算,量と測定,,,,
MathA_01,MathA_10,-0.152422,-0.142472,数と計算,量と測定,,,,
MathA_01,MathA_11,-0.130337,-0.12095,数と計算,図形,,,,
MathA_01,MathA_14,-0.118684,-0.115293,数と計算,図形,,,,
MathA_01,MathA_15,-0.103014,-0.120105,数と計算,データ活用,,,,
MathA_01,MathB_02,-0.089938,-0.083856,数と計算,図形,,,,
MathA_01,MathB_04,-0.109298,-0.104944,数と計算,量と測定,,,,
MathA_01,MathB_06,-0.11575,-0.107437,数と計算,データ活用,,,,
MathA_01,MathB_07,-0.113639,-0.110145,数と計算,数と計算,,,,
MathA_01,MathB_08,-0.167164,-0.15514,数と計算,図形,,,,
MathA_01,MathB_09,-0.110963,-0.103034,数と計算,数と計算,,,,
MathA_01,MathB_10,-0.144327,-0.136718,数と計算,数と計算,,,,
MathA_01,MathB_11,-0.09322,-0.099657,数と計算,数と計算,,,,
MathA_01,MathB_13,-0.114234,-0.106065,数と計算,図形,,,,
MathA_02,MathA_01,-0.126399,-0.122936,数と計算,数と計算,,,,
MathA_02,MathA_05,-0.097711,-0.092846,数と計算,数と計算,,,,
MathA_02,MathA_06,-0.098684,-0.111905,数と計算,数と計算,,,,
MathA_02,MathA_10,-0.101413,-0.092196,数と計算,量と測定,,,,
MathA_02,MathA_11,-0.175888,-0.158749,数と計算,図形,,,,
MathA_02,MathA_12,-0.121279,-0.113383,数と計算,図形,,,,
MathA_02,MathA_13,-0.11188,-0.112238,数と計算,図形,,,,
MathA_02,MathA_14,-0.146183,-0.138115,数と計算,図形,,,,
MathA_02,MathA_15,-0.095881,-0.108726,数と計算,データ活用,,,,
MathA_02,MathB_02,-0.140904,-0.127775,数と計算,図形,,,,
MathA_02,MathB_03,-0.149588,-0.145936,数と計算,図形,,,,
MathA_02,MathB_04,-0.137722,-0.128613,数と計算,量と測定,,,,
MathA_02,MathB_05,-0.084135,-0.109469,数と計算,データ活用,,,,
MathA_02,MathB_06,-0.112074,-0.101176,数と計算,データ活用,,,,
MathA_02,MathB_07,-0.128259,-0.12091,数と計算,数と計算,,,,
MathA_02,MathB_08,-0.102915,-0.092896,数と計算,図形,,,,
MathA_02,MathB_09,-0.138938,-0.125476,数と計算,数と計算,,,,
MathA_02,MathB_10,-0.160419,-0.147797,数と計算,数と計算,,,,
MathA_02,MathB_11,-0.112812,-0.117299,数と計算,数と計算,,,,
MathA_02,MathB_13,-0.131382,-0.118644,数と計算,図形,,,,
MathA_03,MathB_08,-0.137233,-0.108288,数と計算,図形,,,,
MathA_03,MathB_11,-0.096406,-0.087629,数と計算,数と計算,,,,
MathA_05,MathA_14,-0.084473,-0.083993,数と計算,図形,,,,
MathA_05,MathB_10,-0.089401,-0.086683,数と計算,数と計算,,,,
MathA_08,MathB_02,-0.09056,-0.082337,量と測定,図形,,,,
MathA_12,MathA_05,-0.097129,-0.098719,図形,数と計算,,,,
MathA_12,MathA_11,-0.11011,-0.106302,図形,図形,,,,
MathA_12,MathA_13,-0.091243,-0.09791,図形,図形,,,,
MathA_12,MathA_14,-0.11705,-0.118291,図形,図形,,,,
MathA_12,MathA_15,-0.089705,-0.108807,図形,データ活用,,,,
MathA_12,MathB_02,-0.150226,-0.145716,図形,図形,,,,
MathA_12,MathB_03,-0.12996,-0.135616,図形,図形,,,,
MathA_12,MathB_04,-0.09334,-0.093237,図形,量と測定,,,,
MathA_12,MathB_06,-0.106063,-0.102417,図形,データ活用,,,,
MathA_12,MathB_07,-0.106133,-0.107019,図形,数と計算,,,,
MathA_12,MathB_08,-0.084039,-0.08114,図形,図形,,,,
MathA_12,MathB_09,-0.110825,-0.107057,図形,数と計算,,,,
MathA_12,MathB_10,-0.092955,-0.091606,図形,数と計算,,,,
MathA_12,MathB_11,-0.122092,-0.135788,図形,数と計算,,,,
MathA_12,MathB_13,-0.088274,-0.085267,図形,図形,,,,
MathA_13,MathB_06,-0.096468,-0.086809,図形,データ活用,,,,
